claim_id,claim_date,claim_year,claim_month,region,claim_type,severity,claim_status,policy_id,customer_id,broker_id,claim_amount,claim_month_name,claim_quarter,cost_band,high_cost_flag
CLM000079,2024-06-05,2024,2024-06,East,Auto,High,Closed,POL00213,CUST0321,BR014,4659.78,Jun,Q2,Medium,1
CLM000080,2025-02-11,2025,2025-02,West,Property,Medium,Closed,POL00238,CUST0148,BR046,3194.5,Feb,Q1,Medium,0
CLM000081,2025-08-21,2025,2025-08,North,Auto,Low,Closed,POL00203,CUST0218,BR008,1694.57,Aug,Q3,Low,0
CLM000082,2025-11-28,2025,2025-11,North,Property,Medium,Open,POL00296,CUST0225,BR008,5806.19,Nov,Q4,Medium,1
CLM000083,2025-06-05,2025,2025-06,West,Property,Low,Closed,POL00041,CUST0222,BR048,6446.36,Jun,Q2,High,1
CLM000084,2025-05-09,2025,2025-05,North,Auto,Medium,Closed,POL00022,CUST0392,BR044,2544.02,May,Q2,Low,0
CLM000085,2024-10-22,2024,2024-10,North,Property,Low,Closed,POL00285,CUST0093,BR038,1898.92,Oct,Q4,Low,0
CLM000086,2025-09-09,2025,2025-09,Central,Health,Low,Closed,POL00165,CUST0169,BR027,994.85,Sep,Q3,Very Low,0
CLM000087,2024-05-27,2024,2024-05,West,Health,Medium,Closed,POL00091,CUST0162,BR017,3099.75,May,Q2,Medium,0
CLM000088,2025-07-26,2025,2025-07,Central,Property,Low,Closed,POL00056,CUST0097,BR034,3104.37,Jul,Q3,Medium,0
CLM000089,2025-09-13,2025,2025-09,West,Property,Low,Pending,POL00449,CUST0358,BR032,3192.61,Sep,Q3,Medium,0
CLM000090,2025-11-19,2025,2025-11,East,Auto,Low,Closed,POL00096,CUST0116,BR008,2080.62,Nov,Q4,Low,0
CLM000091,2025-03-02,2025,2025-03,West,Auto,High,Closed,POL00426,CUST0248,BR031,7494.1,Mar,Q1,High,1
CLM000092,2025-10-10,2025,2025-10,North,Auto,Medium,Closed,POL00072,CUST0142,BR050,4280.92,Oct,Q4,Medium,0
CLM000093,2024-07-31,2024,2024-07,South,Property,Low,Closed,POL00306,CUST0301,BR038,2660.85,Jul,Q3,Low,0
CLM000094,2024-09-07,2024,2024-09,Central,Health,Low,Closed,POL00557,CUST0194,BR030,866.68,Sep,Q3,Very Low,0
CLM000095,2024-04-06,2024,2024-04,Central,Auto,Low,Open,POL00421,CUST0023,BR021,1176.88,Apr,Q2,Low,0
CLM000096,2024-12-27,2024,2024-12,Central,Health,High,Open,POL00668,CUST0078,BR032,1844.21,Dec,Q4,Low,0
CLM000097,2024-03-05,2024,2024-03,East,Health,High,Open,POL00451,CUST0052,BR034,3603.8,Mar,Q1,Medium,0
CLM000098,2024-01-08,2024,2024-01,West,Health,Medium,Closed,POL00481,CUST0401,BR017,2465.27,Jan,Q1,Low,0
CLM000099,2025-12-21,2025,2025-12,South,Auto,Low,Closed,POL00325,CUST0321,BR046,2474.93,Dec,Q4,Low,0
CLM000100,2024-09-06,2024,2024-09,Central,Auto,Low,Closed,POL00295,CUST0117,BR048,1243.59,Sep,Q3,Low,0
CLM000101,2025-02-20,2025,2025-02,West,Property,Low,Closed,POL00030,CUST0024,BR021,2341.69,Feb,Q1,Low,0
CLM000102,2024-05-30,2024,2024-05,South,Health,Low,Closed,POL00699,CUST0406,BR012,1258.4,May,Q2,Low,0
CLM000103,2025-02-10,2025,2025-02,East,Health,Medium,Closed,POL00238,CUST0237,BR041,1850.39,Feb,Q1,Low,0
CLM000104,2025-05-11,2025,2025-05,West,Property,Low,Closed,POL00076,CUST0227,BR023,2902.16,May,Q2,Low,0
CLM000105,2024-06-02,2024,2024-06,West,Health,Low,Open,POL00204,CUST0197,BR031,1275.9,Jun,Q2,Low,0
CLM000106,2025-07-15,2025,2025-07,East,Health,High,Pending,POL00675,CUST0203,BR018,4565.9,Jul,Q3,Medium,0
CLM000107,2025-12-18,2025,2025-12,West,Property,High,Open,POL00294,CUST0398,BR015,23549.34,Dec,Q4,Extreme,1
CLM000108,2024-06-29,2024,2024-06,South,Auto,Low,Open,POL00676,CUST0349,BR009,2152.59,Jun,Q2,Low,0
CLM000109,2024-11-17,2024,2024-11,West,Auto,Low,Closed,POL00135,CUST0047,BR019,2051.87,Nov,Q4,Low,0
CLM000110,2025-08-01,2025,2025-08,North,Auto,Medium,Closed,POL00280,CUST0085,BR017,2971.56,Aug,Q3,Low,0
CLM000111,2024-09-03,2024,2024-09,Central,Auto,High,Open,POL00480,CUST0039,BR010,2184.12,Sep,Q3,Low,0
CLM000112,2024-04-25,2024,2024-04,Central,Property,High,Pending,POL00571,CUST0188,BR006,7115.66,Apr,Q2,High,1
CLM000113,2024-01-08,2024,2024-01,South,Auto,Low,Open,POL00269,CUST0300,BR025,2068.14,Jan,Q1,Low,0
CLM000114,2024-07-09,2024,2024-07,North,Auto,Low,Open,POL00575,CUST0168,BR040,3552.32,Jul,Q3,Medium,0
CLM000115,2025-02-02,2025,2025-02,West,Health,Medium,Closed,POL00047,CUST0020,BR020,2566.27,Feb,Q1,Low,0
CLM000116,2024-02-29,2024,2024-02,North,Property,Low,Closed,POL00687,CUST0381,BR045,2800.51,Feb,Q1,Low,0
CLM000117,2024-08-02,2024,2024-08,East,Property,High,Closed,POL00502,CUST0316,BR027,7489.45,Aug,Q3,High,1
CLM000118,2024-05-23,2024,2024-05,North,Auto,Low,Pending,POL00372,CUST0051,BR044,996.43,May,Q2,Very Low,0
CLM000119,2025-11-27,2025,2025-11,East,Property,Medium,Closed,POL00658,CUST0328,BR039,7261.82,Nov,Q4,High,1
CLM000120,2024-01-26,2024,2024-01,West,Auto,Low,Closed,POL00071,CUST0392,BR036,2439.48,Jan,Q1,Low,0
CLM000121,2025-04-21,2025,2025-04,West,Auto,Medium,Closed,POL00284,CUST0075,BR009,5028.62,Apr,Q2,Medium,1
CLM000122,2025-03-31,2025,2025-03,North,Property,Low,Open,POL00603,CUST0166,BR002,2236.3,Mar,Q1,Low,0
CLM000123,2025-01-27,2025,2025-01,West,Property,Medium,Closed,POL00463,CUST0258,BR015,10465.22,Jan,Q1,Extreme,1
CLM000124,2024-01-23,2024,2024-01,West,Property,Medium,Closed,POL00659,CUST0016,BR004,3214.21,Jan,Q1,Medium,0
CLM000125,2024-07-24,2024,2024-07,South,Auto,Medium,Closed,POL00083,CUST0165,BR039,4144.55,Jul,Q3,Medium,0
CLM000126,2025-03-06,2025,2025-03,South,Health,Medium,Pending,POL00544,CUST0151,BR030,6381.49,Mar,Q1,High,1
CLM000127,2025-08-09,2025,2025-08,North,Property,Medium,Open,POL00221,CUST0221,BR029,3622.8,Aug,Q3,Medium,0
CLM000128,2024-07-30,2024,2024-07,South,Health,Low,Closed,POL00438,CUST0161,BR043,1195.86,Jul,Q3,Low,0
CLM000129,2025-03-20,2025,2025-03,West,Property,Medium,Closed,POL00134,CUST0285,BR004,6632.33,Mar,Q1,High,1
CLM000130,2025-10-15,2025,2025-10,East,Property,Low,Pending,POL00434,CUST0370,BR004,2448.8,Oct,Q4,Low,0
CLM000131,2024-11-03,2024,2024-11,South,Auto,Low,Closed,POL00494,CUST0115,BR007,1176.85,Nov,Q4,Low,0
CLM000132,2025-10-12,2025,2025-10,South,Property,Medium,Open,POL00637,CUST0315,BR044,7085.4,Oct,Q4,High,1
CLM000133,2024-01-14,2024,2024-01,East,Property,Medium,Closed,POL00280,CUST0360,BR049,2751.06,Jan,Q1,Low,0
CLM000134,2025-06-23,2025,2025-06,South,Auto,Low,Closed,POL00649,CUST0016,BR006,2915.9,Jun,Q2,Low,0
CLM000135,2024-04-20,2024,2024-04,South,Health,Low,Closed,POL00333,CUST0398,BR037,1056.82,Apr,Q2,Low,0
CLM000136,2025-01-27,2025,2025-01,West,Property,Medium,Closed,POL00425,CUST0140,BR014,11018.28,Jan,Q1,Extreme,1
CLM000137,2024-02-28,2024,2024-02,South,Auto,Medium,Closed,POL00540,CUST0342,BR020,2565.76,Feb,Q1,Low,0
CLM000138,2025-07-22,2025,2025-07,Central,Auto,Low,Open,POL00262,CUST0149,BR021,1471.43,Jul,Q3,Low,0
CLM000139,2025-09-12,2025,2025-09,West,Auto,Low,Closed,POL00685,CUST0413,BR023,3041.01,Sep,Q3,Medium,0
CLM000140,2025-01-22,2025,2025-01,South,Health,Low,Closed,POL00415,CUST0364,BR041,1156.17,Jan,Q1,Low,0
CLM000141,2025-02-28,2025,2025-02,South,Property,Low,Closed,POL00371,CUST0046,BR028,4494.37,Feb,Q1,Medium,0
CLM000142,2024-05-04,2024,2024-05,South,Health,Low,Open,POL00348,CUST0114,BR022,2303.81,May,Q2,Low,0
CLM000143,2024-02-09,2024,2024-02,East,Auto,Low,Pending,POL00358,CUST0180,BR047,811.84,Feb,Q1,Very Low,0
CLM000144,2024-11-26,2024,2024-11,West,Auto,Low,Closed,POL00617,CUST0079,BR049,2000.17,Nov,Q4,Low,0
CLM000145,2024-02-08,2024,2024-02,North,Property,Low,Open,POL00594,CUST0230,BR044,2759.96,Feb,Q1,Low,0
CLM000146,2024-10-16,2024,2024-10,West,Property,Low,Pending,POL00324,CUST0078,BR029,4141.43,Oct,Q4,Medium,0
CLM000147,2025-08-15,2025,2025-08,West,Property,Medium,Closed,POL00473,CUST0232,BR003,4154.31,Aug,Q3,Medium,0
CLM000148,2025-05-27,2025,2025-05,North,Property,Medium,Closed,POL00474,CUST0298,BR036,3227.72,May,Q2,Medium,0
CLM000149,2024-01-22,2024,2024-01,East,Property,Medium,Closed,POL00488,CUST0257,BR010,4789.71,Jan,Q1,Medium,1
CLM000150,2024-08-18,2024,2024-08,North,Property,Low,Closed,POL00517,CUST0331,BR012,2796.04,Aug,Q3,Low,0
CLM000151,2025-12-29,2025,2025-12,South,Property,Low,Closed,POL00347,CUST0348,BR039,4530.75,Dec,Q4,Medium,0
CLM000152,2025-11-20,2025,2025-11,West,Auto,Low,Closed,POL00673,CUST0309,BR010,2582.39,Nov,Q4,Low,0
CLM000153,2025-10-26,2025,2025-10,West,Property,Low,Closed,POL00133,CUST0305,BR046,3029.04,Oct,Q4,Medium,0
CLM000154,2024-06-07,2024,2024-06,East,Health,Low,Closed,POL00540,CUST0048,BR042,1112.89,Jun,Q2,Low,0
CLM000155,2024-09-17,2024,2024-09,South,Auto,Low,Closed,POL00498,CUST0099,BR015,2243.74,Sep,Q3,Low,0
CLM000156,2024-03-20,2024,2024-03,North,Property,Low,Open,POL00540,CUST0020,BR043,1962.53,Mar,Q1,Low,0
CLM000157,2025-11-13,2025,2025-11,North,Auto,Low,Open,POL00170,CUST0370,BR029,3516.05,Nov,Q4,Medium,0
CLM000158,2025-07-06,2025,2025-07,West,Auto,Low,Open,POL00460,CUST0120,BR035,2700.13,Jul,Q3,Low,0
CLM000159,2025-08-29,2025,2025-08,Central,Auto,Medium,Closed,POL00289,CUST0399,BR025,1809.09,Aug,Q3,Low,0
CLM000160,2025-08-03,2025,2025-08,South,Property,Medium,Open,POL00568,CUST0053,BR046,8704.44,Aug,Q3,High,1
CLM000161,2024-03-04,2024,2024-03,South,Property,Low,Pending,POL00151,CUST0224,BR006,2418.69,Mar,Q1,Low,0
CLM000162,2024-04-23,2024,2024-04,West,Property,High,Closed,POL00406,CUST0258,BR024,13138.69,Apr,Q2,Extreme,1
CLM000163,2025-02-11,2025,2025-02,South,Auto,High,Closed,POL00150,CUST0071,BR003,11735.38,Feb,Q1,Extreme,1
CLM000164,2025-08-30,2025,2025-08,West,Auto,Medium,Closed,POL00082,CUST0010,BR017,2860.64,Aug,Q3,Low,0
CLM000165,2025-03-18,2025,2025-03,South,Property,Medium,Closed,POL00430,CUST0328,BR040,9691.23,Mar,Q1,High,1
CLM000166,2025-02-26,2025,2025-02,West,Health,Medium,Closed,POL00148,CUST0150,BR028,3171.66,Feb,Q1,Medium,0
CLM000167,2025-06-30,2025,2025-06,Central,Property,Low,Closed,POL00520,CUST0403,BR033,3689.42,Jun,Q2,Medium,0
CLM000168,2025-07-19,2025,2025-07,Central,Auto,Low,Open,POL00366,CUST0404,BR005,3198.98,Jul,Q3,Medium,0
CLM000169,2025-12-03,2025,2025-12,West,Property,Medium,Closed,POL00560,CUST0174,BR042,5877.86,Dec,Q4,Medium,1
CLM000170,2025-12-17,2025,2025-12,East,Property,Medium,Closed,POL00469,CUST0019,BR019,3739.06,Dec,Q4,Medium,0
CLM000171,2025-04-13,2025,2025-04,Central,Auto,Low,Open,POL00485,CUST0130,BR003,1206.38,Apr,Q2,Low,0
CLM000172,2024-04-07,2024,2024-04,South,Property,Low,Closed,POL00280,CUST0064,BR024,2556.99,Apr,Q2,Low,0
CLM000173,2025-07-24,2025,2025-07,West,Property,Low,Closed,POL00510,CUST0189,BR034,3740.68,Jul,Q3,Medium,0
CLM000174,2025-02-12,2025,2025-02,West,Auto,Medium,Closed,POL00329,CUST0053,BR006,4296.02,Feb,Q1,Medium,0
CLM000175,2025-06-01,2025,2025-06,South,Health,Low,Closed,POL00044,CUST0373,BR023,1959.64,Jun,Q2,Low,0
CLM000176,2024-08-10,2024,2024-08,South,Property,High,Closed,POL00653,CUST0208,BR024,14390.34,Aug,Q3,Extreme,1
CLM000177,2025-12-14,2025,2025-12,North,Auto,Medium,Closed,POL00130,CUST0035,BR016,3063.91,Dec,Q4,Medium,0
CLM000178,2024-07-06,2024,2024-07,South,Property,Low,Closed,POL00461,CUST0190,BR024,5658.17,Jul,Q3,Medium,1
CLM000179,2025-02-09,2025,2025-02,East,Health,Low,Closed,POL00117,CUST0014,BR048,1140.98,Feb,Q1,Low,0
CLM000180,2025-09-23,2025,2025-09,South,Health,Low,Closed,POL00627,CUST0147,BR045,4608.84,Sep,Q3,Medium,0
CLM000181,2024-09-08,2024,2024-09,South,Auto,Low,Closed,POL00456,CUST0045,BR044,2520.74,Sep,Q3,Low,0
CLM000182,2024-06-12,2024,2024-06,West,Property,Medium,Closed,POL00308,CUST0081,BR046,3889.28,Jun,Q2,Medium,0
CLM000183,2024-12-24,2024,2024-12,West,Property,Low,Closed,POL00206,CUST0406,BR009,2165.37,Dec,Q4,Low,0
CLM000184,2025-09-10,2025,2025-09,North,Health,Low,Closed,POL00627,CUST0045,BR005,1559.99,Sep,Q3,Low,0
CLM000185,2025-09-03,2025,2025-09,Central,Property,Medium,Closed,POL00697,CUST0265,BR023,4264.66,Sep,Q3,Medium,0
CLM000186,2025-10-10,2025,2025-10,West,Auto,High,Pending,POL00057,CUST0064,BR034,9300.23,Oct,Q4,High,1
CLM000187,2025-03-26,2025,2025-03,North,Property,Low,Closed,POL00291,CUST0041,BR017,3628.22,Mar,Q1,Medium,0
CLM000188,2025-10-10,2025,2025-10,West,Property,Medium,Closed,POL00176,CUST0338,BR040,6243.8,Oct,Q4,High,1
CLM000189,2024-11-05,2024,2024-11,South,Property,Low,Open,POL00084,CUST0024,BR042,2529.41,Nov,Q4,Low,0
CLM000190,2024-05-15,2024,2024-05,West,Property,Low,Closed,POL00510,CUST0322,BR035,1853.74,May,Q2,Low,0
CLM000191,2025-06-04,2025,2025-06,East,Property,Medium,Closed,POL00062,CUST0081,BR029,4163.52,Jun,Q2,Medium,0
CLM000192,2025-08-26,2025,2025-08,South,Health,Low,Open,POL00354,CUST0205,BR009,2400.45,Aug,Q3,Low,0
CLM000193,2024-09-20,2024,2024-09,East,Auto,Low,Closed,POL00254,CUST0073,BR007,1535.88,Sep,Q3,Low,0
CLM000194,2025-07-16,2025,2025-07,Central,Health,High,Open,POL00592,CUST0370,BR021,2428.13,Jul,Q3,Low,0
CLM000195,2025-03-23,2025,2025-03,East,Health,Low,Closed,POL00403,CUST0259,BR030,1329.94,Mar,Q1,Low,0
CLM000196,2024-04-20,2024,2024-04,East,Auto,Low,Closed,POL00670,CUST0345,BR031,1630.74,Apr,Q2,Low,0
CLM000197,2025-01-05,2025,2025-01,Central,Health,High,Open,POL00375,CUST0024,BR026,2756.0,Jan,Q1,Low,0
CLM000198,2025-10-15,2025,2025-10,South,Health,Low,Open,POL00287,CUST0320,BR044,1877.09,Oct,Q4,Low,0
CLM000199,2024-03-06,2024,2024-03,Central,Health,Medium,Closed,POL00375,CUST0387,BR010,1653.34,Mar,Q1,Low,0
CLM000200,2025-09-18,2025,2025-09,South,Auto,Low,Open,POL00532,CUST0234,BR010,1655.96,Sep,Q3,Low,0
CLM000201,2024-09-20,2024,2024-09,North,Property,Low,Closed,POL00632,CUST0379,BR020,2856.18,Sep,Q3,Low,0
CLM000202,2025-09-17,2025,2025-09,West,Health,Medium,Open,POL00378,CUST0170,BR044,3340.28,Sep,Q3,Medium,0
CLM000203,2025-08-02,2025,2025-08,East,Property,Medium,Closed,POL00486,CUST0136,BR042,7111.48,Aug,Q3,High,1
CLM000204,2024-10-23,2024,2024-10,East,Property,Medium,Closed,POL00645,CUST0370,BR040,5769.71,Oct,Q4,Medium,1
CLM000205,2024-07-13,2024,2024-07,North,Property,Low,Pending,POL00113,CUST0098,BR002,1555.93,Jul,Q3,Low,0
CLM000206,2025-08-03,2025,2025-08,North,Property,Low,Pending,POL00064,CUST0362,BR009,2214.16,Aug,Q3,Low,0
CLM000207,2025-10-15,2025,2025-10,South,Property,Medium,Closed,POL00546,CUST0176,BR035,8283.8,Oct,Q4,High,1
